tc_id,annotation_count,locations
TC-0012-0355,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:503
TC-0012-0357,1,packages/qfai/tests/core/prototyping/iteration.test.ts:150
TC-0012-0358,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:349
TC-0012-0359,1,packages/qfai/tests/core/prototyping/iteration.test.ts:334
TC-0012-0360,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:386
TC-0012-0373,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:1397
TC-0012-0381,1,packages/qfai/tests/cli/commands/prototypingCertify.test.ts:234
TC-0012-0382,2,packages/qfai/tests/core/prototyping/certificate.test.ts:451;packages/qfai/tests/core/prototyping/certificate.test.ts:476
TC-0012-0388,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:1592
TC-0012-0389,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:1614
TC-0012-0411,1,packages/qfai/tests/core/prototyping/licenseVerify.test.ts:234
TC-0012-0412,1,packages/qfai/tests/core/prototyping/licenseVerify.test.ts:325
TC-0012-0413,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:1980
TC-0012-0414,1,packages/qfai/tests/core/prototyping/licenseVerify.test.ts:346
TC-0012-0416,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:430
TC-0012-0419,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:2077
TC-0012-0424,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:2197
TC-0012-0471,2,packages/qfai/tests/integration/prototyping/emitSkeletonsCoverage.test.ts:17;packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:11
TC-0012-0472,2,packages/qfai/tests/integration/prototyping/emitSkeletonsCoverage.test.ts:18;packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:12
TC-0012-0473,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:13;packages/qfai/tests/unit/core/prototyping/designMdPatchZone.test.ts:26
TC-0012-0474,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:14;packages/qfai/tests/unit/core/prototyping/designMdPatchZone.test.ts:27
TC-0012-0475,3,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:15;packages/qfai/tests/unit/cli/commands/prototypingIterate.modeDiscriminator.test.ts:14;packages/qfai/tests/unit/core/prototyping/modeRead.test.ts:8
TC-0012-0476,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:16;packages/qfai/tests/unit/cli/commands/prototypingCertify.explorationReject.test.ts:12
TC-0012-0477,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:17;packages/qfai/tests/unit/core/validators/taskFidelityKeywords.test.ts:16
TC-0012-0478,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:18;packages/qfai/tests/unit/cli/commands/prototypingIterate.captureTemplate.test.ts:14
TC-0012-0479,2,packages/qfai/tests/integration/prototyping/mutationLog.test.ts:10;packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:19
TC-0012-0480,2,packages/qfai/tests/integration/spec0012SkeletonModePatchZone.test.ts:20;packages/qfai/tests/unit/core/validators/evidenceMutationUnlogged.test.ts:15
TC-0013-0014,2,packages/qfai/tests/integration/specAutoDiscovery.test.ts:355;packages/qfai/tests/integration/specAutoDiscovery.test.ts:600
TC-0013-0015,1,packages/qfai/tests/integration/specAutoDiscovery.test.ts:637
TC-0013-0016,1,packages/qfai/tests/integration/specAutoDiscovery.test.ts:671
TC-0013-0017,1,packages/qfai/tests/integration/specAutoDiscovery.test.ts:703
TC-0013-0018,1,packages/qfai/tests/core/sddTriage.test.ts:649
TC-0013-0019,1,packages/qfai/tests/core/sddTriage.test.ts:651
TC-0013-0021,1,packages/qfai/tests/core/traceabilityIntegrity.test.ts:280
TC-0013-0030,3,packages/qfai/tests/core/surfaceTypePopulate.test.ts:10;packages/qfai/tests/integration/spec0013ActivePointerSurfaceType.test.ts:13;packages/qfai/tests/integration/spec0013ActivePointerSurfaceType.test.ts:100
TC-0013-0031,3,packages/qfai/tests/core/surfaceTypePopulate.test.ts:11;packages/qfai/tests/integration/spec0013ActivePointerSurfaceType.test.ts:14;packages/qfai/tests/integration/spec0013ActivePointerSurfaceType.test.ts:117
TC-0015-0001,1,packages/qfai/tests/integration/agentDelegationSpec0015.test.ts:5
TC-0015-0002,1,packages/qfai/tests/integration/agentDelegationSpec0015.test.ts:6
TC-0015-0009,1,packages/qfai/tests/integration/agentDelegationSpec0015.test.ts:7
TC-0015-0010,1,packages/qfai/tests/integration/agentDelegationSpec0015.test.ts:8
TC-0016-0013,1,packages/qfai/tests/integration/web-research/security.test.ts:77
TC-0016-0022,1,packages/qfai/tests/integration/web-research/security.test.ts:92
