old_ex_id,old_pack,step4_real_report_line,archive_source,archive_sha256,archive_line,old_br_refs,old_tc_refs,old_ac_refs,current_disposition,semantic_class,semantic_target_old_ac,semantic_target_new_ac,semantic_basis,decision_authority,required_action,step7_active_br_report_lines,new_ex_ids,new_ex_paths,new_contract_rule_refs,source_resolution,reviewer_evidence
EX-0001-0012,spec-0001,879,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,23,BR-0001-0016,TC-0001-0012,AC-0001-0008,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0016,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0016,spec-0001,880,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,27,BR-0001-0020,TC-0001-0016,AC-0001-0010,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0020,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0018,spec-0001,881,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,29,BR-0001-0022,TC-0001-0018,AC-0001-0010,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0022,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0023,spec-0001,882,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,34,BR-0001-0013,TC-0001-0023,AC-0001-0006,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0013,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0024,spec-0001,883,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,35,BR-0001-0015,TC-0001-0011,AC-0001-0007,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0015,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0003-0007,spec-0003,899,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,18,BR-0003-0011,"TC-0003-0007,TC-0003-0008","AC-0003-0007,AC-0003-0008",active_split_or_sdd_decision,single,AC-0003-0008,AC-0001-0027-01,Wrapper removal only; AC-0003-0007 concerns 10_workflow.md.,plan.yaml#BR-0003-0011,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0003-0011:93,EX-0001-0027-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0027/03_Example.md,.qfai/spec/03_contract/cli/qfai-init.md#BR-0051,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0003-0020,spec-0003,900,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,29,BR-0003-0017,TC-0003-0023,"AC-0003-0019,AC-0003-0020",active_single_br_tc_target,single,AC-0003-0019,AC-0001-0035-01,Already-upgraded init is the upgrade flag idempotence branch.,plan.yaml#BR-0003-0017,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0003-0017:94,EX-0001-0035-03,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0035/03_Example.md,.qfai/spec/03_contract/cli/qfai-init.md#BR-0057,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0003-0021,spec-0003,901,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,30,BR-0003-0018,TC-0003-0024,AC-0003-0021,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0003-0018,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0003-0023,spec-0003,902,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,32,BR-0003-0020,TC-0003-0026,"AC-0003-0023,AC-0003-0024",active_split_or_sdd_decision,rewrite_current,,,Old v1.9 warning/sunset narrative conflicts with active AC-0003-0023/0024: v1.10+ error and migration command. Replace coverage separately.,plan.yaml#BR-0003-0020,SDD rewrite the old warning example to the approved post-sunset error; retain active coverage and old provenance,BR-0003-0020:96,EX-0001-0037-01;EX-0001-0037-02,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0037/03_Example.md,.qfai/spec/03_contract/cli/qfai-init.md#BR-0059,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0003-0028,spec-0003,903,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,37,BR-0003-0025,TC-0003-0031,"AC-0003-0027,AC-0003-0028",active_split_or_sdd_decision,single,AC-0003-0027,AC-0002-0002-01,Readable step name and no version comment are both in AC-0003-0027; AC-0003-0028 instead tests the leakage guard mutation.,plan.yaml#BR-0003-0025,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0003-0025:97,EX-0002-0002-04,.qfai/spec/02_business-flow/business-flow-0002/user-story-0002-0002/03_Example.md,.qfai/spec/03_contract/cli/shipped-workflows.md#BR-0064,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0004-0004,spec-0004,905,.qfai/evidence/migration-spec-to-story/retired/spec-0004/05_Examples.md,a42660205c57f4e3eba31683ea6176abffbd61281b172deed5097b271f38b4d7,23,"BR-0004-0001,BR-0004-0002","TC-0004-0001,TC-0004-0002","AC-0004-0001,AC-0004-0002",active_split_or_sdd_decision,single,AC-0004-0001,AC-0001-0039-01,Deterministic validate aggregation is AC-0004-0001; no separate UIX-specific assertion is made.,plan.yaml#BR-0004-0001; plan.yaml#BR-0004-0002,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0004-0001:98;BR-0004-0002:99,EX-0001-0039-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0039/03_Example.md,.qfai/spec/03_contract/cli/qfai-validate.md#BR-0099;.qfai/spec/03_contract/cli/qfai-validate.md#BR-0100,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0004-0037,spec-0004,906,.qfai/evidence/migration-spec-to-story/retired/spec-0004/05_Examples.md,a42660205c57f4e3eba31683ea6176abffbd61281b172deed5097b271f38b4d7,245,BR-0004-0029,"TC-0004-0065,TC-0004-0066","AC-0004-0031,AC-0004-0032",active_split_or_sdd_decision,trim_and_place,AC-0004-0032,AC-0001-0049-02,Keep only the sunset legacy-output error clause under AC-0004-0032. The certify read of latest validate.json conflicts with the profile-suffixed read contract.,plan.yaml#BR-0004-0029,"SDD remove obsolete clause, then place retained outcome under reviewed AC",BR-0004-0029:100,EX-0001-0049-03;EX-0001-0049-04,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0049/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0127,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0008-0001,spec-0008,908,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,2344a8c2043f3566baac59f15a7d7d65a44c9ecbc43a7b96de2f9314b3189c7c,3,BR-0008-0003,"TC-0008-0001,TC-0008-0007","AC-0008-0001,AC-0008-0007",active_split_or_sdd_decision,single,AC-0008-0001,AC-0001-0069-01,Volume estimate table only; evidence-file completeness is not exercised.,plan.yaml#BR-0008-0003,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0008-0003:101,EX-0001-0069-03,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0069/03_Example.md,.qfai/spec/03_contract/cli/delivery-workflow.md#BR-0212,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0008-0002,spec-0008,909,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,2344a8c2043f3566baac59f15a7d7d65a44c9ecbc43a7b96de2f9314b3189c7c,11,BR-0008-0001,"TC-0008-0002,TC-0008-0004","AC-0008-0002,AC-0008-0004",active_split_or_sdd_decision,single,AC-0008-0002,AC-0001-0070-01,BF E2E annotation presence on the story tree; AC-0008-0004 concerns AC integration/API coverage.,plan.yaml#BR-0008-0001,SDD place one EX under reviewed AC; normalize story-tree wording,,EX-0001-0070-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0070/03_Example.md,.qfai/spec/03_contract/cli/qfai-validate.md#BR-0210,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0008-0005,spec-0008,910,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,2344a8c2043f3566baac59f15a7d7d65a44c9ecbc43a7b96de2f9314b3189c7c,33,BR-0008-0004,"TC-0008-0006,TC-0008-0008","AC-0008-0006,AC-0008-0008",active_split_or_sdd_decision,new_ac_needed,,,Reviewer REVISE when a BF lacks E2E has no precise active AC: AC-0008-0002 states coverage obligation and AC-0008-0008 states reviewer independence only.,plan.yaml#BR-0008-0004,"SDD add or amend live AC, then author EX and test",BR-0008-0004:102,EX-0001-0073-03,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0073/03_Example.md,.qfai/spec/03_contract/cli/delivery-workflow.md#BR-0213,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0008-0017,spec-0008,911,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,2344a8c2043f3566baac59f15a7d7d65a44c9ecbc43a7b96de2f9314b3189c7c,127,BR-0008-0005,TC-0008-0022,"AC-0008-0002,AC-0008-0004",active_split_or_sdd_decision,new_ac_needed,,,Undefined BF/AC/EX annotation validation is not specified by AC-0008-0002 or AC-0008-0004; do not attach by topic alone.,plan.yaml#BR-0008-0005,"SDD add or amend live AC, then author EX and test",,EX-0001-0073-04,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0073/03_Example.md,.qfai/spec/03_contract/cli/qfai-validate.md#BR-0214,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0009-0001,spec-0009,912,.qfai/evidence/migration-spec-to-story/retired/spec-0009/05_Examples.md,5de2a1dd693c91ad0e0a2f352039f60a4eb93c17ab9154f6d8a8d10d529f548c,3,"BR-0009-0001,BR-0009-0002","TC-0009-0001,TC-0009-0002,TC-0009-0005,TC-0009-0008","AC-0009-0001,AC-0009-0002,AC-0009-0005,AC-0009-0007",active_reviewed_semantic_target,single,AC-0009-0002,AC-0001-0078-01,Example output is proposed include globs; AC-0009-0001 is broader analysis and AC-0009-0005 sampling.,plan.yaml#BR-0009-0001; plan.yaml#BR-0009-0002,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0009-0002:103,EX-0001-0078-04,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0078/03_Example.md,.qfai/spec/03_contract/cli/configuration.md#BR-0225,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0009-0003,spec-0009,913,.qfai/evidence/migration-spec-to-story/retired/spec-0009/05_Examples.md,5de2a1dd693c91ad0e0a2f352039f60a4eb93c17ab9154f6d8a8d10d529f548c,17,BR-0009-0004,"TC-0009-0004,TC-0009-0007","AC-0009-0004,AC-0009-0006",active_single_br_tc_target,single,AC-0009-0004,AC-0001-0079-01,Evidence-based tech steering population; no separate tool-selection rationale assertion.,plan.yaml#BR-0009-0004,SDD place one EX under reviewed AC; normalize story-tree wording,,EX-0001-0079-02,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0079/03_Example.md,.qfai/spec/03_contract/cli/configuration.md#BR-0227,source_removed_verified,archive SHA256 and line match; new EX/AC and new contract BR rows verified; old EX source absent
EX-0011-0002,spec-0011,914,.qfai/evidence/migration-spec-to-story/retired/spec-0011/05_Examples.md,49755a240753e7632942a0d2338510329bf887c6da005722cc22fce9831e1d1d,31,BR-0011-0002,TC-0011-0002,AC-0011-0002,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0011-0002,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0011-0003,spec-0011,915,.qfai/evidence/migration-spec-to-story/retired/spec-0011/05_Examples.md,49755a240753e7632942a0d2338510329bf887c6da005722cc22fce9831e1d1d,38,BR-0011-0002,TC-0011-0004,AC-0011-0004,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0011-0002,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0001,spec-0012,917,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,3,BR-0012-0002,"TC-0012-0290,TC-0012-0342","AC-0012-0002,AC-0012-0030",retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0002,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0002,spec-0012,918,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,12,BR-0012-0003,TC-0012-0291,AC-0012-0003,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0003,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0003,spec-0012,919,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,22,BR-0012-0003,TC-0012-0291,AC-0012-0003,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0003,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0089,spec-0012,920,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,39,BR-0012-0005,"TC-0012-0294,TC-0012-0295,TC-0012-0296,TC-0012-0336,TC-0012-0343","AC-0012-0005,AC-0012-0021,AC-0012-0022",active_single_br_tc_target,single,AC-0012-0005,AC-0001-0105-01,Evaluator input classes are the AC-0012-0005 guidance contract.,plan.yaml#BR-0012-0005,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0012-0005:108,EX-0001-0105-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0105/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0257,new_story_and_contract_verified;old_source_removal_authorized,archive SHA256 and source line match; new EX/AC and contract BR references verified; DEC-0715;DEC-0716;DEC-0717
EX-0012-0098,spec-0012,921,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,48,BR-0012-0004,"TC-0012-0285,TC-0012-0286,TC-0012-0293,TC-0012-0337,TC-0012-0344,TC-0012-0351","AC-0012-0001,AC-0012-0004,AC-0012-0020,AC-0012-0031",active_single_br_tc_target,split,AC-0012-0001;AC-0012-0004,AC-0001-0102-01;AC-0001-0100-01,Planning/delegation-map and invalid-role handling belong to AC-0001; role ownership list belongs to AC-0004.,plan.yaml#BR-0012-0004,SDD split into one EX per reviewed AC and preserve old provenance,BR-0012-0004:107,EX-0001-0100-01;EX-0001-0102-02,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0100/03_Example.md;.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0102/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0256,new_story_and_contract_verified;old_source_removal_authorized,archive SHA256 and source line match; new EX/AC and contract BR references verified; DEC-0715;DEC-0716;DEC-0717
EX-0012-0102,spec-0012,922,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,76,"BR-0012-0008,BR-0012-0010",TC-0012-0313,"AC-0012-0008,AC-0012-0010",retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0008; retired-rule-disposition.md#BR-0012-0010,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0110,spec-0012,923,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,85,BR-0012-0024,"TC-0012-0319,TC-0012-0321,TC-0012-0322,TC-0012-0323,TC-0012-0324,TC-0012-0325,TC-0012-0330,TC-0012-0334,TC-0012-0338,TC-0012-0339,TC-0012-0340,TC-0012-0345,TC-0012-0350,TC-0012-0352","AC-0012-0020,AC-0012-0021,AC-0012-0028,AC-0012-0029,AC-0012-0032,AC-0012-0033",retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0024,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0111,spec-0012,924,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,93,BR-0012-0021,"TC-0012-0320,TC-0012-0331,TC-0012-0332,TC-0012-0333,TC-0012-0341,TC-0012-0349","AC-0012-0023,AC-0012-0024,AC-0012-0025,AC-0012-0026,AC-0012-0027",active_split_or_sdd_decision,split,AC-0012-0026;AC-0012-0027,AC-0001-0108-02;AC-0001-0108-03,Pivot outcome and non-pivot refine fallback are separate rules.,plan.yaml#BR-0012-0021,SDD split into one EX per reviewed AC and preserve old provenance,BR-0012-0021:114,EX-0001-0108-02;EX-0001-0108-03,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0108/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0263,new_story_and_contract_verified;old_source_removal_authorized,archive SHA256 and source line match; new EX/AC and contract BR references verified; DEC-0715;DEC-0716;DEC-0717
EX-0012-0112,spec-0012,925,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,100,BR-0012-0026,"TC-0012-0326,TC-0012-0327,TC-0012-0347,TC-0012-0348","AC-0012-0034,AC-0012-0035",active_split_or_sdd_decision,single,AC-0012-0035,AC-0001-0115-01,Cycle >=1 hash mismatch only; cycle-0 hash recording is not exercised.,plan.yaml#BR-0012-0026,SDD place one EX under reviewed AC; normalize story-tree wording,BR-0012-0026:118,EX-0001-0115-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0115/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0266,new_story_and_contract_verified;old_source_removal_authorized,archive SHA256 and source line match; new EX/AC and contract BR references verified; DEC-0715;DEC-0716;DEC-0717
EX-0012-0113,spec-0012,926,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,107,BR-0012-0024,"TC-0012-0328,TC-0012-0329",AC-0012-0028,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0024,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0115,spec-0012,927,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,121,BR-0012-0017,TC-0012-0344,AC-0012-0020,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0017,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0012-0116,spec-0012,928,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,129,BR-0012-0018,TC-0012-0339,AC-0012-0020,active_no_live_ac,new_ac_needed,,,Active BR-0012-0018 latest-accepted policy has only retired AC-0012-0020 in legacy TC references; preserve BR and author or select a live criterion by SDD.,plan.yaml#BR-0012-0018,"SDD add or amend live AC, then author EX and test",BR-0012-0018:112,EX-0001-0109-01,.qfai/spec/02_business-flow/business-flow-0001/user-story-0001-0109/03_Example.md,.qfai/spec/03_contract/cli/qfai-prototyping.md#BR-0261,new_story_and_contract_verified;old_source_removal_authorized,archive SHA256 and source line match; new EX/AC and contract BR references verified; DEC-0715;DEC-0716;DEC-0717
EX-0012-0117,spec-0012,929,.qfai/evidence/migration-spec-to-story/retired/spec-0012/05_Examples.md,79e17db877e832c38bb3f8f42f508cd754386c92b026f048d97caaf2060cf67e,136,BR-0012-0019,TC-0012-0330,AC-0012-0021,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0012-0019,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
