br_id,old_ex_refs,step4_mapped_ex_refs,at_risk
BR-0001-0043,"EX-0001-0073,EX-0001-0074,EX-0001-0075","EX-0001-0073,EX-0001-0074,EX-0001-0075",no
BR-0001-0044,"EX-0001-0076,EX-0001-0077","EX-0001-0076,EX-0001-0077",no
BR-0001-0045,"EX-0001-0078,EX-0001-0079,EX-0001-0080,EX-0001-0081,EX-0001-0082,EX-0001-0083","EX-0001-0078,EX-0001-0079,EX-0001-0080,EX-0001-0081,EX-0001-0082,EX-0001-0083",no
BR-0001-0046,"EX-0001-0084,EX-0001-0085","EX-0001-0084,EX-0001-0085",no
BR-0001-0047,"EX-0001-0086,EX-0001-0087","EX-0001-0086,EX-0001-0087",no
BR-0001-0048,EX-0001-0088,EX-0001-0088,no
BR-0001-0049,"EX-0001-0089,EX-0001-0090","EX-0001-0089,EX-0001-0090",no
BR-0001-0050,"EX-0001-0091,EX-0001-0092","EX-0001-0091,EX-0001-0092",no
BR-0001-0051,"EX-0001-0093,EX-0001-0094","EX-0001-0093,EX-0001-0094",no
BR-0002-0001,EX-0002-0001,EX-0002-0001,no
BR-0002-0008,"EX-0002-0008,EX-0002-0009","EX-0002-0008,EX-0002-0009",no
BR-0002-0009,EX-0002-0010,EX-0002-0010,no
BR-0002-0010,EX-0002-0011,EX-0002-0011,no
BR-0003-0001,"EX-0003-0001,EX-0003-0002","EX-0003-0001,EX-0003-0002",no
BR-0003-0002,EX-0003-0003,EX-0003-0003,no
BR-0003-0003,EX-0003-0004,EX-0003-0004,no
BR-0003-0004,EX-0003-0005,EX-0003-0005,no
BR-0003-0005,EX-0003-0014,EX-0003-0014,no
BR-0003-0006,EX-0003-0006,EX-0003-0006,no
BR-0003-0007,EX-0003-0015,EX-0003-0015,no
BR-0003-0008,EX-0003-0008,EX-0003-0008,no
BR-0003-0009,"EX-0003-0009,EX-0003-0010,EX-0003-0011","EX-0003-0009,EX-0003-0010,EX-0003-0011",no
BR-0003-0010,EX-0003-0012,EX-0003-0012,no
BR-0003-0011,EX-0003-0007,,yes
BR-0003-0012,EX-0003-0013,EX-0003-0013,no
BR-0003-0013,EX-0003-0016,EX-0003-0016,no
BR-0003-0014,EX-0003-0017,EX-0003-0017,no
BR-0003-0015,"EX-0003-0018,EX-0003-0069","EX-0003-0018,EX-0003-0069",no
BR-0003-0016,EX-0003-0019,EX-0003-0019,no
BR-0003-0017,EX-0003-0020,,yes
BR-0003-0019,EX-0003-0022,EX-0003-0022,no
BR-0003-0020,EX-0003-0023,,yes
BR-0003-0021,EX-0003-0024,EX-0003-0024,no
BR-0003-0022,EX-0003-0025,EX-0003-0025,no
BR-0003-0023,EX-0003-0026,EX-0003-0026,no
BR-0003-0024,EX-0003-0027,EX-0003-0027,no
BR-0003-0025,EX-0003-0028,,yes
BR-0003-0026,EX-0003-0029,EX-0003-0029,no
BR-0003-0027,EX-0003-0030,EX-0003-0030,no
BR-0003-0028,EX-0003-0031,EX-0003-0031,no
BR-0003-0029,EX-0003-0032,EX-0003-0032,no
BR-0003-0030,EX-0003-0033,EX-0003-0033,no
BR-0003-0031,EX-0003-0034,EX-0003-0034,no
BR-0003-0032,EX-0003-0035,EX-0003-0035,no
BR-0003-0033,EX-0003-0036,EX-0003-0036,no
BR-0003-0034,EX-0003-0037,EX-0003-0037,no
BR-0003-0035,EX-0003-0038,EX-0003-0038,no
BR-0003-0036,"EX-0003-0039,EX-0003-0070","EX-0003-0039,EX-0003-0070",no
BR-0003-0037,EX-0003-0040,EX-0003-0040,no
BR-0003-0038,EX-0003-0041,EX-0003-0041,no
BR-0003-0039,EX-0003-0042,EX-0003-0042,no
BR-0003-0040,EX-0003-0043,EX-0003-0043,no
BR-0003-0041,EX-0003-0044,EX-0003-0044,no
BR-0003-0042,EX-0003-0045,EX-0003-0045,no
BR-0003-0043,EX-0003-0046,EX-0003-0046,no
BR-0003-0044,EX-0003-0047,EX-0003-0047,no
BR-0003-0045,EX-0003-0048,EX-0003-0048,no
BR-0003-0046,EX-0003-0049,EX-0003-0049,no
BR-0003-0047,EX-0003-0050,EX-0003-0050,no
BR-0003-0048,EX-0003-0051,EX-0003-0051,no
BR-0003-0049,"EX-0003-0052,EX-0003-0053,EX-0003-0054","EX-0003-0052,EX-0003-0053,EX-0003-0054",no
BR-0003-0050,EX-0003-0055,EX-0003-0055,no
BR-0003-0051,EX-0003-0056,EX-0003-0056,no
BR-0003-0052,"EX-0003-0057,EX-0003-0058","EX-0003-0057,EX-0003-0058",no
BR-0003-0053,EX-0003-0059,EX-0003-0059,no
BR-0003-0054,EX-0003-0060,EX-0003-0060,no
BR-0003-0055,EX-0003-0061,EX-0003-0061,no
BR-0003-0056,"EX-0003-0062,EX-0003-0063","EX-0003-0062,EX-0003-0063",no
BR-0003-0057,EX-0003-0064,EX-0003-0064,no
BR-0003-0058,"EX-0003-0065,EX-0003-0066","EX-0003-0065,EX-0003-0066",no
BR-0003-0059,"EX-0003-0067,EX-0003-0068","EX-0003-0067,EX-0003-0068",no
BR-0004-0001,EX-0004-0004,,yes
BR-0004-0002,EX-0004-0004,,yes
BR-0004-0003,EX-0004-0001,EX-0004-0001,no
BR-0004-0004,EX-0004-0002,EX-0004-0002,no
BR-0004-0005,EX-0004-0003,EX-0004-0003,no
BR-0004-0006,EX-0004-0005,EX-0004-0005,no
BR-0004-0007,EX-0004-0006,EX-0004-0006,no
BR-0004-0008,EX-0004-0007,EX-0004-0007,no
BR-0004-0009,EX-0004-0008,EX-0004-0008,no
BR-0004-0010,EX-0004-0009,EX-0004-0009,no
BR-0004-0011,EX-0004-0010,EX-0004-0010,no
BR-0004-0012,EX-0004-0011,EX-0004-0011,no
BR-0004-0013,"EX-0004-0012,EX-0004-0090","EX-0004-0012,EX-0004-0090",no
BR-0004-0014,EX-0004-0013,EX-0004-0013,no
BR-0004-0015,"EX-0004-0014,EX-0004-0026,EX-0004-0027,EX-0004-0028,EX-0004-0029,EX-0004-0030,EX-0004-0031","EX-0004-0014,EX-0004-0026,EX-0004-0027,EX-0004-0028,EX-0004-0029,EX-0004-0030,EX-0004-0031",no
BR-0004-0016,EX-0004-0015,EX-0004-0015,no
BR-0004-0017,EX-0004-0016,EX-0004-0016,no
BR-0004-0018,EX-0004-0017,EX-0004-0017,no
BR-0004-0019,EX-0004-0018,EX-0004-0018,no
BR-0004-0020,EX-0004-0019,EX-0004-0019,no
BR-0004-0021,EX-0004-0020,EX-0004-0020,no
BR-0004-0022,EX-0004-0021,EX-0004-0021,no
BR-0004-0023,EX-0004-0022,EX-0004-0022,no
BR-0004-0024,EX-0004-0023,EX-0004-0023,no
BR-0004-0025,EX-0004-0032,EX-0004-0032,no
BR-0004-0026,EX-0004-0033,EX-0004-0033,no
BR-0004-0027,"EX-0004-0034,EX-0004-0035","EX-0004-0034,EX-0004-0035",no
BR-0004-0028,EX-0004-0036,EX-0004-0036,no
BR-0004-0029,EX-0004-0037,,yes
BR-0004-0030,EX-0004-0038,EX-0004-0038,no
BR-0004-0031,EX-0004-0039,EX-0004-0039,no
BR-0004-0032,EX-0004-0040,EX-0004-0040,no
BR-0004-0033,EX-0004-0041,EX-0004-0041,no
BR-0004-0043,EX-0004-0046,EX-0004-0046,no
BR-0004-0044,EX-0004-0047,EX-0004-0047,no
BR-0004-0045,EX-0004-0048,EX-0004-0048,no
BR-0004-0046,EX-0004-0049,EX-0004-0049,no
BR-0004-0047,EX-0004-0050,EX-0004-0050,no
BR-0004-0048,EX-0004-0051,EX-0004-0051,no
BR-0004-0049,EX-0004-0052,EX-0004-0052,no
BR-0004-0050,EX-0004-0053,EX-0004-0053,no
BR-0004-0051,EX-0004-0054,EX-0004-0054,no
BR-0004-0052,EX-0004-0055,EX-0004-0055,no
BR-0004-0053,EX-0004-0056,EX-0004-0056,no
BR-0004-0054,EX-0004-0057,EX-0004-0057,no
BR-0004-0055,"EX-0004-0058,EX-0004-0059","EX-0004-0058,EX-0004-0059",no
BR-0004-0056,EX-0004-0060,EX-0004-0060,no
BR-0004-0057,EX-0004-0061,EX-0004-0061,no
BR-0004-0058,"EX-0004-0061,EX-0004-0062,EX-0004-0088","EX-0004-0061,EX-0004-0062,EX-0004-0088",no
BR-0004-0059,"EX-0004-0063,EX-0004-0086,EX-0004-0087","EX-0004-0063,EX-0004-0086,EX-0004-0087",no
BR-0004-0060,"EX-0004-0064,EX-0004-0065","EX-0004-0064,EX-0004-0065",no
BR-0004-0061,EX-0004-0066,EX-0004-0066,no
BR-0004-0062,EX-0004-0067,EX-0004-0067,no
BR-0004-0063,"EX-0004-0068,EX-0004-0069","EX-0004-0068,EX-0004-0069",no
BR-0004-0064,EX-0004-0070,EX-0004-0070,no
BR-0004-0065,EX-0004-0071,EX-0004-0071,no
BR-0004-0066,"EX-0004-0072,EX-0004-0073","EX-0004-0072,EX-0004-0073",no
BR-0004-0067,EX-0004-0072,EX-0004-0072,no
BR-0004-0068,EX-0004-0073,EX-0004-0073,no
BR-0004-0069,EX-0004-0074,EX-0004-0074,no
BR-0004-0070,EX-0004-0075,EX-0004-0075,no
BR-0004-0071,EX-0004-0076,EX-0004-0076,no
BR-0004-0072,EX-0004-0077,EX-0004-0077,no
BR-0004-0073,EX-0004-0078,EX-0004-0078,no
BR-0004-0074,EX-0004-0079,EX-0004-0079,no
BR-0004-0075,EX-0004-0079,EX-0004-0079,no
BR-0004-0077,"EX-0004-0081,EX-0004-0082","EX-0004-0081,EX-0004-0082",no
BR-0004-0078,EX-0004-0083,EX-0004-0083,no
BR-0004-0079,EX-0004-0084,EX-0004-0084,no
BR-0004-0080,EX-0004-0085,EX-0004-0085,no
BR-0004-0081,EX-0004-0089,EX-0004-0089,no
BR-0005-0001,"EX-0005-0004,EX-0005-0018,EX-0005-0019,EX-0005-0020,EX-0005-0021,EX-0005-0022,EX-0005-0023,EX-0005-0024","EX-0005-0004,EX-0005-0018,EX-0005-0019,EX-0005-0020,EX-0005-0021,EX-0005-0022,EX-0005-0023,EX-0005-0024",no
BR-0005-0002,"EX-0005-0001,EX-0005-0002,EX-0005-0005","EX-0005-0001,EX-0005-0002,EX-0005-0005",no
BR-0005-0003,"EX-0005-0001,EX-0005-0002,EX-0005-0005","EX-0005-0001,EX-0005-0002,EX-0005-0005",no
BR-0005-0004,EX-0005-0003,EX-0005-0003,no
BR-0005-0013,EX-0005-0014,EX-0005-0014,no
BR-0005-0014,EX-0005-0015,EX-0005-0015,no
BR-0005-0015,EX-0005-0016,EX-0005-0016,no
BR-0005-0016,EX-0005-0017,EX-0005-0017,no
BR-0006-0001,"EX-0006-0001,EX-0006-0002","EX-0006-0001,EX-0006-0002",no
BR-0006-0002,"EX-0006-0007,EX-0006-0008","EX-0006-0007,EX-0006-0008",no
BR-0006-0003,EX-0006-0003,EX-0006-0003,no
BR-0006-0004,"EX-0006-0004,EX-0006-0005","EX-0006-0004,EX-0006-0005",no
BR-0006-0005,EX-0006-0006,EX-0006-0006,no
BR-0006-0006,EX-0006-0009,EX-0006-0009,no
BR-0006-0007,EX-0006-0010,EX-0006-0010,no
BR-0006-0008,EX-0006-0011,EX-0006-0011,no
BR-0006-0009,EX-0006-0012,EX-0006-0012,no
BR-0006-0010,EX-0006-0013,EX-0006-0013,no
BR-0006-0011,EX-0006-0014,EX-0006-0014,no
BR-0006-0012,EX-0006-0015,EX-0006-0015,no
BR-0006-0013,EX-0006-0016,EX-0006-0016,no
BR-0006-0014,EX-0006-0017,EX-0006-0017,no
BR-0006-0015,EX-0006-0018,EX-0006-0018,no
BR-0006-0016,EX-0006-0019,EX-0006-0019,no
BR-0006-0017,EX-0006-0020,EX-0006-0020,no
BR-0006-0018,"EX-0006-0021,EX-0006-0024","EX-0006-0021,EX-0006-0024",no
BR-0006-0019,"EX-0006-0022,EX-0006-0029","EX-0006-0022,EX-0006-0029",no
BR-0006-0020,EX-0006-0023,EX-0006-0023,no
BR-0006-0021,"EX-0006-0025,EX-0006-0026","EX-0006-0025,EX-0006-0026",no
BR-0006-0022,"EX-0006-0027,EX-0006-0028","EX-0006-0027,EX-0006-0028",no
BR-0007-0001,"EX-0007-0001,EX-0007-0012","EX-0007-0001,EX-0007-0012",no
BR-0007-0002,"EX-0007-0002,EX-0007-0003","EX-0007-0002,EX-0007-0003",no
BR-0007-0003,EX-0007-0004,EX-0007-0004,no
BR-0007-0004,EX-0007-0005,EX-0007-0005,no
BR-0007-0005,EX-0007-0010,EX-0007-0010,no
BR-0007-0006,EX-0007-0006,EX-0007-0006,no
BR-0007-0007,EX-0007-0007,EX-0007-0007,no
BR-0007-0008,EX-0007-0008,EX-0007-0008,no
BR-0007-0009,EX-0007-0009,EX-0007-0009,no
BR-0007-0010,EX-0007-0011,EX-0007-0011,no
BR-0008-0001,"EX-0008-0002,EX-0008-0004",EX-0008-0004,no
BR-0008-0002,"EX-0008-0003,EX-0008-0004","EX-0008-0003,EX-0008-0004",no
BR-0008-0003,EX-0008-0001,,yes
BR-0008-0004,EX-0008-0005,,yes
BR-0008-0005,"EX-0008-0006,EX-0008-0017",EX-0008-0006,no
BR-0008-0006,EX-0008-0007,EX-0008-0007,no
BR-0008-0007,"EX-0008-0008,EX-0008-0018","EX-0008-0008,EX-0008-0018",no
BR-0008-0008,"EX-0008-0009,EX-0008-0014","EX-0008-0009,EX-0008-0014",no
BR-0008-0009,EX-0008-0010,EX-0008-0010,no
BR-0008-0010,EX-0008-0011,EX-0008-0011,no
BR-0008-0011,EX-0008-0012,EX-0008-0012,no
BR-0008-0012,EX-0008-0013,EX-0008-0013,no
BR-0008-0013,EX-0008-0015,EX-0008-0015,no
BR-0008-0014,EX-0008-0016,EX-0008-0016,no
BR-0009-0001,"EX-0009-0001,EX-0009-0004,EX-0009-0008","EX-0009-0004,EX-0009-0008",no
BR-0009-0002,EX-0009-0001,,yes
BR-0009-0003,EX-0009-0005,EX-0009-0005,no
BR-0009-0004,"EX-0009-0003,EX-0009-0008",EX-0009-0008,no
BR-0009-0005,EX-0009-0002,EX-0009-0002,no
BR-0009-0006,EX-0009-0006,EX-0009-0006,no
BR-0009-0007,EX-0009-0007,EX-0009-0007,no
BR-0009-0008,EX-0009-0008,EX-0009-0008,no
BR-0010-0001,EX-0010-0001,EX-0010-0001,no
BR-0010-0005,EX-0010-0005,EX-0010-0005,no
BR-0010-0006,EX-0010-0006,EX-0010-0006,no
BR-0010-0007,EX-0010-0007,EX-0010-0007,no
BR-0010-0008,EX-0010-0008,EX-0010-0008,no
BR-0010-0009,"EX-0010-0009,EX-0010-0010","EX-0010-0009,EX-0010-0010",no
BR-0010-0010,EX-0010-0011,EX-0010-0011,no
BR-0010-0011,EX-0010-0012,EX-0010-0012,no
BR-0010-0012,EX-0010-0013,EX-0010-0013,no
BR-0011-0001,"EX-0011-0005,EX-0011-0012","EX-0011-0005,EX-0011-0012",no
BR-0011-0003,EX-0011-0001,EX-0011-0001,no
BR-0011-0004,EX-0011-0006,EX-0011-0006,no
BR-0011-0005,EX-0011-0004,EX-0011-0004,no
BR-0011-0006,"EX-0011-0007,EX-0011-0018","EX-0011-0007,EX-0011-0018",no
BR-0011-0008,EX-0011-0009,EX-0011-0009,no
BR-0011-0009,EX-0011-0010,EX-0011-0010,no
BR-0011-0010,"EX-0011-0011,EX-0011-0019","EX-0011-0011,EX-0011-0019",no
BR-0011-0011,EX-0011-0013,EX-0011-0013,no
BR-0011-0012,EX-0011-0014,EX-0011-0014,no
BR-0011-0013,EX-0011-0015,EX-0011-0015,no
BR-0011-0014,EX-0011-0016,EX-0011-0016,no
BR-0011-0015,EX-0011-0017,EX-0011-0017,no
BR-0011-0016,EX-0011-0020,EX-0011-0020,no
BR-0012-0001,EX-0012-0086,EX-0012-0086,no
BR-0012-0004,EX-0012-0098,,yes
BR-0012-0005,EX-0012-0089,,yes
BR-0012-0006,EX-0012-0099,EX-0012-0099,no
BR-0012-0007,EX-0012-0100,EX-0012-0100,no
BR-0012-0009,EX-0012-0101,EX-0012-0101,no
BR-0012-0018,EX-0012-0116,,yes
BR-0012-0020,EX-0012-0118,EX-0012-0118,no
BR-0012-0021,EX-0012-0111,,yes
BR-0012-0022,EX-0012-0119,EX-0012-0119,no
BR-0012-0023,EX-0012-0120,,yes
BR-0012-0026,EX-0012-0112,,yes
BR-0012-0027,EX-0012-0114,EX-0012-0114,no
BR-0012-0028,"EX-0012-0122,EX-0012-0123",EX-0012-0122,no
BR-0012-0029,"EX-0012-0124,EX-0012-0125",,yes
BR-0012-0030,"EX-0012-0126,EX-0012-0127,EX-0012-0146,EX-0012-0147,EX-0012-0151,EX-0012-0152,EX-0012-0154,EX-0012-0155,EX-0012-0156,EX-0012-0157,EX-0012-0158,EX-0012-0159,EX-0012-0160,EX-0012-0161","EX-0012-0126,EX-0012-0127,EX-0012-0146,EX-0012-0147,EX-0012-0151,EX-0012-0154,EX-0012-0155,EX-0012-0156,EX-0012-0157,EX-0012-0158,EX-0012-0159,EX-0012-0160,EX-0012-0161",no
BR-0012-0031,"EX-0012-0128,EX-0012-0129","EX-0012-0128,EX-0012-0129",no
BR-0012-0032,"EX-0012-0130,EX-0012-0131","EX-0012-0130,EX-0012-0131",no
BR-0012-0033,"EX-0012-0132,EX-0012-0133,EX-0012-0150","EX-0012-0132,EX-0012-0133,EX-0012-0150",no
BR-0012-0034,"EX-0012-0134,EX-0012-0135,EX-0012-0145,EX-0012-0148,EX-0012-0149",EX-0012-0149,no
BR-0012-0035,"EX-0012-0136,EX-0012-0137","EX-0012-0136,EX-0012-0137",no
BR-0012-0036,EX-0012-0138,,yes
BR-0012-0037,EX-0012-0139,EX-0012-0139,no
BR-0012-0038,"EX-0012-0140,EX-0012-0141,EX-0012-0153",EX-0012-0141,no
BR-0012-0039,EX-0012-0142,EX-0012-0142,no
BR-0012-0040,"EX-0012-0143,EX-0012-0144",,yes
BR-0012-0041,EX-0012-0162,EX-0012-0162,no
BR-0012-0042,EX-0012-0163,EX-0012-0163,no
BR-0012-0043,EX-0012-0164,EX-0012-0164,no
BR-0012-0044,EX-0012-0165,EX-0012-0165,no
BR-0012-0045,EX-0012-0166,EX-0012-0166,no
BR-0012-0046,EX-0012-0167,EX-0012-0167,no
BR-0012-0047,EX-0012-0168,EX-0012-0168,no
BR-0012-0048,EX-0012-0169,EX-0012-0169,no
BR-0012-0049,EX-0012-0170,EX-0012-0170,no
BR-0012-0050,EX-0012-0171,EX-0012-0171,no
BR-0012-0051,EX-0012-0172,EX-0012-0172,no
BR-0012-0052,EX-0012-0173,EX-0012-0173,no
BR-0012-0053,EX-0012-0174,EX-0012-0174,no
BR-0012-0054,EX-0012-0175,EX-0012-0175,no
BR-0012-0055,EX-0012-0176,EX-0012-0176,no
BR-0012-0056,EX-0012-0177,EX-0012-0177,no
BR-0012-0057,EX-0012-0178,EX-0012-0178,no
BR-0012-0058,EX-0012-0179,EX-0012-0179,no
BR-0012-0059,EX-0012-0180,EX-0012-0180,no
BR-0012-0060,EX-0012-0181,,yes
BR-0012-0061,EX-0012-0182,,yes
BR-0012-0062,EX-0012-0183,,yes
BR-0012-0063,EX-0012-0184,,yes
BR-0012-0064,EX-0012-0185,,yes
BR-0012-0065,EX-0012-0186,EX-0012-0186,no
BR-0013-0003,EX-0013-0003,EX-0013-0003,no
BR-0013-0011,EX-0013-0011,EX-0013-0011,no
BR-0013-0012,EX-0013-0012,EX-0013-0012,no
BR-0013-0013,EX-0013-0013,EX-0013-0013,no
BR-0013-0014,EX-0013-0014,EX-0013-0014,no
BR-0013-0015,EX-0013-0015,EX-0013-0015,no
BR-0013-0016,EX-0013-0016,EX-0013-0016,no
BR-0013-0017,"EX-0013-0017,EX-0013-0035","EX-0013-0017,EX-0013-0035",no
BR-0013-0019,EX-0013-0019,EX-0013-0019,no
BR-0013-0020,EX-0013-0020,EX-0013-0020,no
BR-0013-0021,EX-0013-0021,EX-0013-0021,no
BR-0013-0022,EX-0013-0022,EX-0013-0022,no
BR-0013-0023,EX-0013-0023,EX-0013-0023,no
BR-0013-0024,EX-0013-0024,EX-0013-0024,no
BR-0013-0025,EX-0013-0025,EX-0013-0025,no
BR-0013-0026,EX-0013-0026,EX-0013-0026,no
BR-0013-0027,EX-0013-0027,EX-0013-0027,no
BR-0013-0028,EX-0013-0028,EX-0013-0028,no
BR-0013-0029,EX-0013-0029,EX-0013-0029,no
BR-0013-0030,EX-0013-0030,EX-0013-0030,no
BR-0013-0031,EX-0013-0031,EX-0013-0031,no
BR-0013-0032,EX-0013-0032,EX-0013-0032,no
BR-0013-0033,EX-0013-0033,EX-0013-0033,no
BR-0013-0034,EX-0013-0034,EX-0013-0034,no
BR-0014-0001,"EX-0014-0001,EX-0014-0036","EX-0014-0001,EX-0014-0036",no
BR-0014-0002,EX-0014-0002,EX-0014-0002,no
BR-0014-0003,EX-0014-0035,EX-0014-0035,no
BR-0014-0004,EX-0014-0025,EX-0014-0025,no
BR-0014-0005,EX-0014-0026,EX-0014-0026,no
BR-0014-0006,EX-0014-0027,EX-0014-0027,no
BR-0014-0025,EX-0014-0029,EX-0014-0029,no
BR-0014-0026,EX-0014-0030,EX-0014-0030,no
BR-0014-0027,EX-0014-0031,EX-0014-0031,no
BR-0014-0028,EX-0014-0032,EX-0014-0032,no
BR-0014-0029,EX-0014-0033,EX-0014-0033,no
BR-0014-0030,EX-0014-0034,EX-0014-0034,no
BR-0015-0001,EX-0015-0001,,yes
BR-0015-0002,EX-0015-0006,EX-0015-0006,no
BR-0015-0003,EX-0015-0005,EX-0015-0005,no
BR-0015-0004,"EX-0015-0002,EX-0015-0003",EX-0015-0003,no
BR-0015-0005,EX-0015-0004,,yes
BR-0015-0006,EX-0015-0007,EX-0015-0007,no
BR-0015-0007,EX-0015-0008,EX-0015-0008,no
BR-0015-0008,EX-0015-0009,EX-0015-0009,no
BR-0015-0009,EX-0015-0010,EX-0015-0010,no
BR-0015-0010,EX-0015-0011,EX-0015-0011,no
BR-0015-0011,EX-0015-0012,EX-0015-0012,no
BR-0015-0012,EX-0015-0013,EX-0015-0013,no
BR-0015-0013,EX-0015-0014,EX-0015-0014,no
BR-0015-0014,EX-0015-0015,EX-0015-0015,no
BR-0015-0015,EX-0015-0016,EX-0015-0016,no
BR-0015-0016,EX-0015-0017,EX-0015-0017,no
BR-0015-0017,EX-0015-0018,EX-0015-0018,no
BR-0015-0018,EX-0015-0019,EX-0015-0019,no
BR-0015-0019,EX-0015-0020,EX-0015-0020,no
BR-0015-0020,"EX-0015-0020,EX-0015-0021","EX-0015-0020,EX-0015-0021",no
BR-0015-0021,EX-0015-0022,EX-0015-0022,no
BR-0016-0001,EX-0016-0001,EX-0016-0001,no
BR-0016-0002,EX-0016-0002,EX-0016-0002,no
BR-0016-0003,EX-0016-0003,EX-0016-0003,no
BR-0016-0004,"EX-0016-0004,EX-0016-0005","EX-0016-0004,EX-0016-0005",no
BR-0016-0005,EX-0016-0006,EX-0016-0006,no
BR-0016-0006,EX-0016-0007,EX-0016-0007,no
BR-0016-0007,EX-0016-0008,EX-0016-0008,no
BR-0016-0008,"EX-0016-0009,EX-0016-0010,EX-0016-0011","EX-0016-0009,EX-0016-0010,EX-0016-0011",no
BR-0016-0009,EX-0016-0012,EX-0016-0012,no
BR-0016-0010,"EX-0016-0013,EX-0016-0014",EX-0016-0013,no
BR-0016-0011,EX-0016-0015,EX-0016-0015,no
BR-0016-0012,EX-0016-0016,EX-0016-0016,no
BR-0016-0013,EX-0016-0017,EX-0016-0017,no
BR-0016-0014,EX-0016-0018,EX-0016-0018,no
BR-0016-0015,"EX-0016-0019,EX-0016-0020","EX-0016-0019,EX-0016-0020",no
BR-0016-0016,EX-0016-0021,EX-0016-0021,no
BR-0016-0017,"EX-0016-0022,EX-0016-0023","EX-0016-0022,EX-0016-0023",no
BR-0016-0018,EX-0016-0024,EX-0016-0024,no
BR-0016-0019,EX-0016-0025,EX-0016-0025,no
BR-0016-0020,EX-0016-0026,EX-0016-0026,no
BR-0017-0001,EX-0017-0001,EX-0017-0001,no
BR-0017-0002,EX-0017-0002,EX-0017-0002,no
BR-0017-0003,"EX-0017-0003,EX-0017-0074","EX-0017-0003,EX-0017-0074",no
BR-0017-0004,EX-0017-0004,EX-0017-0004,no
BR-0017-0005,EX-0017-0005,EX-0017-0005,no
BR-0017-0006,EX-0017-0006,EX-0017-0006,no
BR-0017-0007,EX-0017-0007,EX-0017-0007,no
BR-0017-0008,EX-0017-0008,EX-0017-0008,no
BR-0017-0009,EX-0017-0009,EX-0017-0009,no
BR-0017-0010,EX-0017-0010,EX-0017-0010,no
BR-0017-0011,EX-0017-0011,EX-0017-0011,no
BR-0017-0012,EX-0017-0012,EX-0017-0012,no
BR-0017-0013,EX-0017-0013,EX-0017-0013,no
BR-0017-0014,EX-0017-0014,EX-0017-0014,no
BR-0017-0015,EX-0017-0015,EX-0017-0015,no
BR-0017-0016,EX-0017-0016,EX-0017-0016,no
